,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,attendance,stadium,a_href
0,Liverpool FC,2,Manchester City,2,Sunday,August,26,2012,16:00,44942,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Sunderland AFC,3,Reading FC,0,Tuesday,December,11,2012,19:45,37723,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Chelsea FC,4,Reading FC,2,Wednesday,August,22,2012,19:45,41733,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,West Ham United,3,Fulham FC,0,Saturday,September,1,2012,12:45,33458,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Swansea City,2,Sunderland AFC,2,Saturday,September,1,2012,15:00,20350,Liberty Stadium (Swansea / Wales),https://www.worldfootball.net/venues/swansea-com-stadium-swansea/
0,Tottenham Hotspur,1,Norwich City,1,Saturday,September,1,2012,15:00,36142,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,West Bromwich Albion,2,Everton FC,0,Saturday,September,1,2012,15:00,25383,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Wigan Athletic,2,Stoke City,2,Saturday,September,1,2012,15:00,16247,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Manchester City,3,Queens Park Rangers,1,Saturday,September,1,2012,17:30,45579,Etihad Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Liverpool FC,0,Arsenal FC,2,Sunday,September,2,2012,13:30,44932,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Newcastle United,1,Aston Villa,1,Sunday,September,2,2012,16:00,48245,Sports Direct Arena (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Southampton FC,2,Manchester United,3,Sunday,September,2,2012,16:00,31609,Saint Mary's (Southampton / England),https://www.worldfootball.net/venues/saint-marys-southampton/
0,Norwich City,0,West Ham United,0,Saturday,September,15,2012,12:45,26806,Carrow Road (Norwich / England),https://www.worldfootball.net/venues/carrow-road-norwich/
0,Arsenal FC,6,Southampton FC,1,Saturday,September,15,2012,15:00,60097,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Aston Villa,2,Swansea City,0,Saturday,September,15,2012,15:00,34005,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Fulham FC,3,West Bromwich Albion,0,Saturday,September,15,2012,15:00,25691,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Manchester United,4,Wigan Athletic,0,Saturday,September,15,2012,15:00,75142,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Queens Park Rangers,0,Chelsea FC,0,Saturday,September,15,2012,15:00,18271,Loftus Road (London / England),https://www.worldfootball.net/venues/loftus-road-london/
0,Stoke City,1,Manchester City,1,Saturday,September,15,2012,15:00,27101,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Sunderland AFC,1,Liverpool FC,1,Saturday,September,15,2012,17:30,41997,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Reading FC,1,Tottenham Hotspur,3,Sunday,September,16,2012,16:00,24160,Select Car Leasing Stadium (Reading / England),https://www.worldfootball.net/venues/select-car-leasing-stadium-reading/
0,Everton FC,2,Newcastle United,2,Monday,September,17,2012,20:00,32510,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Swansea City,0,Everton FC,3,Saturday,September,22,2012,12:45,20464,Liberty Stadium (Swansea / Wales),https://www.worldfootball.net/venues/swansea-com-stadium-swansea/
0,Chelsea FC,1,Stoke City,0,Saturday,September,22,2012,15:00,41112,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Southampton FC,4,Aston Villa,1,Saturday,September,22,2012,15:00,30713,Saint Mary's (Southampton / England),https://www.worldfootball.net/venues/saint-marys-southampton/
0,West Bromwich Albion,1,Reading FC,0,Saturday,September,22,2012,15:00,23854,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,West Ham United,1,Sunderland AFC,1,Saturday,September,22,2012,15:00,33052,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Wigan Athletic,1,Fulham FC,2,Saturday,September,22,2012,15:00,19284,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Liverpool FC,1,Manchester United,2,Sunday,September,23,2012,13:30,44263,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Newcastle United,1,Norwich City,0,Sunday,September,23,2012,15:00,49402,Sports Direct Arena (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Manchester City,1,Arsenal FC,1,Sunday,September,23,2012,16:00,47318,Etihad Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Tottenham Hotspur,2,Queens Park Rangers,1,Sunday,September,23,2012,16:00,36052,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Arsenal FC,1,Chelsea FC,2,Saturday,September,29,2012,12:45,60101,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Everton FC,3,Southampton FC,1,Saturday,September,29,2012,15:00,37922,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Fulham FC,1,Manchester City,2,Saturday,September,29,2012,15:00,25698,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Norwich City,2,Liverpool FC,5,Saturday,September,29,2012,15:00,26831,Carrow Road (Norwich / England),https://www.worldfootball.net/venues/carrow-road-norwich/
0,Reading FC,2,Newcastle United,2,Saturday,September,29,2012,15:00,24097,Select Car Leasing Stadium (Reading / England),https://www.worldfootball.net/venues/select-car-leasing-stadium-reading/
0,Stoke City,2,Swansea City,0,Saturday,September,29,2012,15:00,27330,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Sunderland AFC,1,Wigan Athletic,0,Saturday,September,29,2012,15:00,37742,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Manchester United,2,Tottenham Hotspur,3,Saturday,September,29,2012,17:30,75566,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Aston Villa,1,West Bromwich Albion,1,Sunday,September,30,2012,16:00,34489,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Queens Park Rangers,1,West Ham United,2,Monday,October,1,2012,20:00,17363,Loftus Road (London / England),https://www.worldfootball.net/venues/loftus-road-london/
0,Manchester City,3,Sunderland AFC,0,Saturday,October,6,2012,12:45,47036,Etihad Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Chelsea FC,4,Norwich City,1,Saturday,October,6,2012,15:00,41784,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Swansea City,2,Reading FC,2,Saturday,October,6,2012,15:00,20336,Liberty Stadium (Swansea / Wales),https://www.worldfootball.net/venues/swansea-com-stadium-swansea/
0,West Bromwich Albion,3,Queens Park Rangers,2,Saturday,October,6,2012,15:00,23987,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Wigan Athletic,2,Everton FC,2,Saturday,October,6,2012,15:00,18759,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,West Ham United,1,Arsenal FC,3,Saturday,October,6,2012,17:30,34974,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Southampton FC,2,Fulham FC,2,Sunday,October,7,2012,13:30,28004,Saint Mary's (Southampton / England),https://www.worldfootball.net/venues/saint-marys-southampton/
0,Liverpool FC,0,Stoke City,0,Sunday,October,7,2012,15:00,44531,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Tottenham Hotspur,2,Aston Villa,0,Sunday,October,7,2012,15:00,35802,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Newcastle United,0,Manchester United,3,Sunday,October,7,2012,16:00,52203,Sports Direct Arena (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Tottenham Hotspur,2,Chelsea FC,4,Saturday,October,20,2012,12:45,36060,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Fulham FC,1,Aston Villa,0,Saturday,October,20,2012,15:00,25693,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Liverpool FC,1,Reading FC,0,Saturday,October,20,2012,15:00,44874,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Manchester United,4,Stoke City,2,Saturday,October,20,2012,15:00,75585,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Swansea City,2,Wigan Athletic,1,Saturday,October,20,2012,15:00,19696,Liberty Stadium (Swansea / Wales),https://www.worldfootball.net/venues/swansea-com-stadium-swansea/
0,West Bromwich Albion,1,Manchester City,2,Saturday,October,20,2012,15:00,24891,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,West Ham United,4,Southampton FC,1,Saturday,October,20,2012,15:00,34925,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Norwich City,1,Arsenal FC,0,Saturday,October,20,2012,17:30,26825,Carrow Road (Norwich / England),https://www.worldfootball.net/venues/carrow-road-norwich/
0,Sunderland AFC,1,Newcastle United,1,Sunday,October,21,2012,13:30,47456,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Queens Park Rangers,1,Everton FC,1,Sunday,October,21,2012,16:00,17959,Loftus Road (London / England),https://www.worldfootball.net/venues/loftus-road-london/
0,Aston Villa,1,Norwich City,1,Saturday,October,27,2012,12:45,33184,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Arsenal FC,1,Queens Park Rangers,0,Saturday,October,27,2012,15:00,60103,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Reading FC,3,Fulham FC,3,Saturday,October,27,2012,15:00,24093,Select Car Leasing Stadium (Reading / England),https://www.worldfootball.net/venues/select-car-leasing-stadium-reading/
0,Stoke City,0,Sunderland AFC,0,Saturday,October,27,2012,15:00,27005,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Wigan Athletic,2,West Ham United,1,Saturday,October,27,2012,15:00,19090,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Manchester City,1,Swansea City,0,Saturday,October,27,2012,17:30,46801,Etihad Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Everton FC,2,Liverpool FC,2,Sunday,October,28,2012,13:30,39613,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Newcastle United,2,West Bromwich Albion,1,Sunday,October,28,2012,15:00,49731,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Southampton FC,1,Tottenham Hotspur,2,Sunday,October,28,2012,15:00,31944,Saint Mary's (Southampton / England),https://www.worldfootball.net/venues/saint-marys-southampton/
0,Chelsea FC,2,Manchester United,3,Sunday,October,28,2012,16:00,41644,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Manchester United,2,Arsenal FC,1,Saturday,November,3,2012,12:45,75492,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Fulham FC,2,Everton FC,2,Saturday,November,3,2012,15:00,25699,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
